,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
5357,I am extremely Rich,LIFESTYLE,2.9,41,2.9M,1000,Paid,379.99,Everyone,Lifestyle,"July 1, 2018",1.0,4.0 and up
5355,I am rich VIP,LIFESTYLE,3.8,411,2.6M,10000,Paid,299.99,Everyone,Lifestyle,"July 21, 2018",1.1.1,4.3 and up
2365,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,1000,Paid,79.99,Everyone,Medical,"June 18, 2018",19.0,4.0.3 and up
2253,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,1000,Paid,79.99,Everyone,Medical,"June 18, 2018",19.0,4.0.3 and up
2414,LTC AS Legal,MEDICAL,4.0,6,1.3M,100,Paid,39.99,Everyone,Medical,"April 4, 2018",3.0.1,4.1 and up
5360,I am Rich Person,LIFESTYLE,4.2,134,1.8M,1000,Paid,37.99,Everyone,Lifestyle,"July 18, 2017",1.0,4.0.3 and up
2402,A Manual of Acupuncture,MEDICAL,3.5,214,68M,1000,Paid,33.99,Everyone,Medical,"October 2, 2017",2.1.35,4.0 and up
2301,A Manual of Acupuncture,MEDICAL,3.5,214,68M,1000,Paid,33.99,Everyone,Medical,"October 2, 2017",2.1.35,4.0 and up
2387,EMT PASS,MEDICAL,3.4,51,2.4M,1000,Paid,29.99,Everyone,Medical,"October 22, 2014",2.0.2,4.0 and up
3039,Golfshot Plus: Golf GPS,SPORTS,4.1,3387,25M,50000,Paid,29.99,Everyone,Sports,"July 11, 2018",4.18.0,4.1 and up
2266,EMT PASS,MEDICAL,3.4,51,2.4M,1000,Paid,29.99,Everyone,Medical,"October 22, 2014",2.0.2,4.0 and up
2298,PTA Content Master,MEDICAL,4.2,64,41M,1000,Paid,29.99,Everyone,Medical,"December 22, 2015",2.1,2.2 and up
5489,AP Art History Flashcards,FAMILY,5.0,1,96M,10,Paid,29.99,Mature 17+,Education,"January 19, 2016",3.30,4.0 and up
2406,PTA Content Master,MEDICAL,4.2,64,41M,1000,Paid,29.99,Everyone,Medical,"December 22, 2015",2.1,2.2 and up
2407,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,10000,Paid,24.99,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up
9574,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2923,25M,100000,Paid,24.99,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
2372,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,100000,Paid,24.99,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
2277,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,10000,Paid,24.99,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up
2251,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,100000,Paid,24.99,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
7477,USMLE Step 2 CK Flashcards,FAMILY,5.0,1,40M,10,Paid,19.99,Everyone,Education,"May 26, 2014",2.47,2.2 and up
2297,Hospitalist Handbook,MEDICAL,4.8,12,18M,1000,Paid,19.99,Everyone,Medical,"June 5, 2017",6.0.4,4.1 and up
8719,DRAGON QUEST VIII,FAMILY,4.5,7812,27M,50000,Paid,19.99,Everyone 10+,Role Playing,"April 4, 2017",1.1.4,4.0 and up
5036,NewTek NDI,PHOTOGRAPHY,3.5,77,1.2M,1000,Paid,19.99,Everyone,Photography,"October 26, 2016",1.1,4.1 and up
2420,Hospitalist Handbook,MEDICAL,4.8,12,18M,1000,Paid,19.99,Everyone,Medical,"June 5, 2017",6.0.4,4.1 and up
7347,boattheory.ch Full 2018,FAMILY,4.7,54,50M,1000,Paid,19.4,Everyone,Education,"November 18, 2017",3.1.2,4.2 and up
5361,I am Rich Premium Plus,FINANCE,4.6,459,2.0M,10000,Paid,18.99,Everyone,Finance,"February 17, 2018",1.1,4.0.3 and up
6837,SkyTest BU/GU Lite,BUSINESS,2.9,28,20M,500,Paid,17.99,Everyone,Business,"October 24, 2017",2.0.5,3.0 and up
4203,The World Ends With You,GAME,4.6,4108,13M,10000,Paid,17.99,Everyone 10+,Arcade,"December 14, 2015",1.0.4,4.0 and up
2385,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,1000,Paid,16.99,Everyone,Medical,"January 27, 2017",1.0.5,4.0.3 and up
2256,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,1000,Paid,16.99,Everyone,Medical,"January 27, 2017",1.0.5,4.0.3 and up
10782,Trine 2: Complete Story,GAME,3.8,252,11M,10000,Paid,16.99,Teen,Action,"February 27, 2015",2.22,5.0 and up
2299,Navi Radiography Pro,MEDICAL,4.7,11,100M,500,Paid,15.99,Everyone,Medical,"January 14, 2018",1.2.0,4.0.3 and up
7894,Interactive CT and MRI Anatomy,MEDICAL,3.4,35,24M,1000,Paid,15.46,Everyone,Medical,"May 27, 2015",2.0.3,2.2 and up
9220,Electrician Calculator Pro,TOOLS,3.9,47,270k,1000,Paid,14.99,Everyone,Tools,"June 3, 2014",3.1,1.6 and up
8726,DRAGON QUEST VI,FAMILY,4.4,3358,17M,100000,Paid,14.99,Everyone,Role Playing,"August 1, 2018",1.0.4,2.3 and up
2261,Block Buddy,MEDICAL,4.0,15,5.0M,1000,Paid,14.99,Everyone,Medical,"August 1, 2018",7.6.14,4.0 and up
2272,AnatomyMapp,MEDICAL,4.1,80,48M,5000,Paid,14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up
6413,Chess of Blades (BL/Yaoi Game) (No VA),FAMILY,4.8,4,23M,10,Paid,14.99,Teen,Casual,"January 24, 2018",1.03,2.3.3 and up
7357,DRAGON QUEST IV,FAMILY,4.7,1647,16M,10000,Paid,14.99,Everyone,Role Playing,"February 28, 2017",1.0.5,2.3 and up
2389,Block Buddy,MEDICAL,4.0,15,5.0M,1000,Paid,14.99,Everyone,Medical,"August 1, 2018",7.6.14,4.0 and up
4711,DRAGON QUEST V,FAMILY,4.7,1667,17M,10000,Paid,14.99,Teen,Role Playing,"August 1, 2018",1.0.3,2.3 and up
4172,G-NetTrack Pro,TOOLS,4.3,255,1.6M,5000,Paid,14.99,Everyone,Tools,"July 25, 2018",14.6,4.0 and up
2400,AnatomyMapp,MEDICAL,4.1,80,48M,5000,Paid,14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up
6341,Blackjack Verite Drills,GAME,4.6,17,4.7M,100,Paid,14.0,Teen,Casino,"July 9, 2017",1.1.10,3.0 and up
8736,FINAL FANTASY DIMENSIONS,FAMILY,4.3,8450,1.1M,100000,Paid,13.99,Everyone,Role Playing,"March 15, 2017",1.1.3,2.3.3 and up
9304,Carrier Landings Pro,FAMILY,4.6,5969,31M,10000,Paid,12.99,Everyone,Simulation,"June 29, 2018",4.2.4,4.1 and up
2409,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100,Paid,12.99,Everyone,Medical,"July 25, 2018",7,3.0 and up
8371,ZombieVital DG,FAMILY,4.3,10,20M,100,Paid,12.99,Everyone,Simulation,"August 4, 2018",Varies with device,Varies with device
8823,DS Helpdesk Plus,BUSINESS,3.6,21,Varies with device,100,Paid,12.99,Everyone,Business,"January 30, 2017",Varies with device,Varies with device
2269,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100,Paid,12.99,Everyone,Medical,"July 25, 2018",7,3.0 and up
2395,EMT Review Plus,MEDICAL,4.5,199,1.8M,10000,Paid,11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
5994,BackCountry Navigator TOPO GPS PRO,MAPS_AND_NAVIGATION,4.5,6230,Varies with device,100000,Paid,11.99,Everyone,Maps & Navigation,"August 3, 2018",Varies with device,Varies with device
2254,EMT Review Plus,MEDICAL,4.5,199,1.8M,10000,Paid,11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
2252,Essential Anatomy 3,MEDICAL,4.1,1533,42M,50000,Paid,11.99,Mature 17+,Medical,"August 7, 2014",1.1.3,4.0.3 and up
2386,Essential Anatomy 3,MEDICAL,4.1,1533,42M,50000,Paid,11.99,Mature 17+,Medical,"August 7, 2014",1.1.3,4.0.3 and up
9211,RPG ブレイジング ソウルズ アクセレイト,FAMILY,3.4,159,3.1M,1000,Paid,10.99,Teen,Role Playing,"April 26, 2018",2.12,2.3 and up
2278,CCHT PREP,MEDICAL,3.6,25,266k,1000,Paid,10.99,Everyone,Medical,"December 8, 2016",1.2,2.1 and up
2380,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,10000,Paid,10.0,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up
8077,go41cx,FAMILY,4.8,171,1.0M,1000,Paid,10.0,Everyone,Education,"October 18, 2016",1.7.0,2.2 and up
2248,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,10000,Paid,10.0,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up
2378,ASCCP Mobile,MEDICAL,4.5,63,25M,10000,Paid,9.99,Everyone,Medical,"October 3, 2016",2.1.1,2.2 and up
3441,BIG Launcher,PERSONALIZATION,4.3,881,5.9M,10000,Paid,9.99,Everyone,Personalization,"June 20, 2018",2.5.9,2.1 and up
8733,CHRONO TRIGGER (Upgrade Ver.),FAMILY,3.8,11250,6.3M,100000,Paid,9.99,Everyone 10+,Role Playing,"June 12, 2018",2.0.4,4.2 and up
4938,Pocket AC,PHOTOGRAPHY,4.8,130,4.4M,1000,Paid,9.99,Everyone,Photography,"June 27, 2018",3.1.1,4.1 and up
8721,DRAGON QUEST III,FAMILY,4.2,1661,63M,10000,Paid,9.99,Everyone,Role Playing,"March 9, 2018",1.0.5,4.0 and up
2401,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,1000,Paid,9.99,Everyone,Medical,"July 16, 2018",6.5.1,5.0 and up
5475,500 AP World History Questions,FAMILY,4.7,7,1.2M,100,Paid,9.99,Everyone,Education,"November 1, 2013",1.2,1.6 and up
2259,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,1000,Paid,9.99,Everyone,Medical,"July 16, 2018",6.5.1,5.0 and up
7798,Jeppesen CR Flight Computer,MAPS_AND_NAVIGATION,3.3,3,26M,100,Paid,9.99,Everyone,Maps & Navigation,"October 5, 2016",1.0.8,4.4 and up
2289,Critical Care Paramedic Review,MEDICAL,4.4,17,1.8M,1000,Paid,9.99,Everyone 10+,Medical,"May 14, 2018",2.0.5,4.4W and up
6205,Baldur's Gate II,FAMILY,4.3,5442,16M,50000,Paid,9.99,Teen,Role Playing,"June 28, 2018",2.5.16.6,3.0 and up
1838,Star Wars ™: DIRTY,GAME,4.5,38207,15M,100000,Paid,9.99,Teen,Role Playing,"October 19, 2015",1.0.6,4.1 and up
2295,InfantRisk Center HCP,MEDICAL,2.6,41,14M,1000,Paid,9.99,Everyone,Medical,"May 6, 2015",1.3.4,2.3.3 and up
2246,ASCCP Mobile,MEDICAL,4.5,63,25M,10000,Paid,9.99,Everyone,Medical,"October 3, 2016",2.1.1,2.2 and up
6180,Baldur's Gate: Enhanced Edition,FAMILY,4.5,20101,7.8M,100000,Paid,9.99,Teen,Role Playing,"October 2, 2015",1.3,3.0 and up
10006,XCOM®: Enemy Within,FAMILY,4.2,13752,21M,100000,Paid,9.99,Mature 17+,Strategy,"October 24, 2017",1.7.0,4.0 and up
2243,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,100000,Paid,9.0,Everyone,Medical,"July 16, 2018",2.0.7,4.0 and up
2366,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,100000,Paid,9.0,Everyone,Medical,"July 16, 2018",2.0.7,4.0 and up
4085,Maps & GPS Navigation OsmAnd+,TRAVEL_AND_LOCAL,4.3,15209,Varies with device,100000,Paid,8.99,Everyone,Travel & Local,"August 1, 2018",Varies with device,Varies with device
8364,DG Surveyor,BUSINESS,3.6,5,6.8M,50,Paid,8.99,Everyone,Business,"April 30, 2018",6.00,4.0.3 and up
10645,Football Manager Mobile 2018,SPORTS,3.9,11460,Varies with device,100000,Paid,8.99,Everyone,Sports,"June 27, 2018",Varies with device,4.1 and up
8211,ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,3.1,19,4.5M,500,Paid,8.99,Everyone,Productivity,"November 3, 2016",1.0.8,4.0 and up
5909,Greater London A-Z 2016,TRAVEL_AND_LOCAL,3.7,40,9.0M,1000,Paid,8.49,Everyone,Travel & Local,"August 18, 2016",1.0.1,4.1 and up
7165,My Movies Pro - Movie & TV Collection Library,LIFESTYLE,4.6,6477,20M,10000,Paid,7.99,Everyone,Lifestyle,"July 16, 2018",2.26 Build 17,4.1 and up
6198,Backgammon NJ for Android,GAME,4.4,1644,15M,10000,Paid,7.99,Everyone,Board,"April 5, 2017",4.1,2.3.3 and up
2293,Acupuncture Assistant,MEDICAL,4.5,492,39M,10000,Paid,7.99,Everyone,Medical,"April 13, 2018",4.4.5,4.1 and up
4694,FINAL FANTASY V,FAMILY,4.5,15924,4.2M,100000,Paid,7.99,Teen,Role Playing,"March 15, 2017",1.2.1,4.0 and up
481,AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100,Paid,7.99,Mature 17+,Dating,"January 21, 2017",1.0.1,4.0 and up
10450,Police Field Interview FI Card,PRODUCTIVITY,4.5,112,2.4M,1000,Paid,7.99,Everyone,Productivity,"March 16, 2017",3.0,4.0.3 and up
10760,Fast Tract Diet,HEALTH_AND_FITNESS,4.4,35,2.4M,1000,Paid,7.99,Everyone,Health & Fitness,"August 8, 2018",1.9.3,4.2 and up
2168,Children Educational Game Full,FAMILY,4.7,30,Varies with device,1000,Paid,7.49,Everyone,Educational;Education,"May 16, 2018",Varies with device,Varies with device
2284,Recognise Foot,MEDICAL,4.2,9,95M,1000,Paid,7.49,Everyone,Medical,"September 14, 2017",1.0.3,4.1 and up
2247,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,10000,Paid,6.99,Everyone,Medical,"June 17, 2017",Varies with device,Varies with device
6538,The Legacy (Full),GAME,4.6,144,6.3M,1000,Paid,6.99,Everyone,Adventure,"May 15, 2018",1.0.9,4.0 and up
4347,Minecraft,FAMILY,4.5,2375336,Varies with device,10000000,Paid,6.99,Everyone 10+,Arcade;Action & Adventure,"July 24, 2018",1.5.2.1,Varies with device
1837,Call of Duty:Black Ops Zombies,GAME,4.2,13004,46M,100000,Paid,6.99,Teen,Action,"December 20, 2016",1.0.11,2.3.3 and up
7899,Radiological Anatomy For FRCR1,MEDICAL,4.8,12,44M,100,Paid,6.99,Everyone,Medical,"January 22, 2014",1.3,4.0 and up
2241,Minecraft,FAMILY,4.5,2376564,Varies with device,10000000,Paid,6.99,Everyone 10+,Arcade;Action & Adventure,"July 24, 2018",1.5.2.1,Varies with device
4437,Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,313k,5000,Paid,6.99,Everyone,Personalization,"August 20, 2017",5.1,5.1 and up
7417,Grand Theft Auto: San Andreas,GAME,4.4,348962,26M,1000000,Paid,6.99,Mature 17+,Action,"March 21, 2015",1.08,3.0 and up
2398,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,10000,Paid,6.99,Everyone,Medical,"June 17, 2017",Varies with device,Varies with device
6534,New York Mysteries (Full),GAME,4.5,514,5.9M,5000,Paid,6.99,Teen,Adventure,"June 4, 2018",1.0.36,4.0 and up
10583,Florida Tides & Weather,WEATHER,3.8,30,2.0M,1000,Paid,6.99,Everyone,Weather,"May 6, 2015",2.0.0,2.3 and up
9647,The EO Bar,HEALTH_AND_FITNESS,4.7,416,34M,10000,Paid,6.99,Everyone,Health & Fitness,"July 2, 2018",1.3.7,4.1 and up
477,Calculator,DATING,2.6,57,6.2M,1000,Paid,6.99,Everyone,Dating,"October 25, 2017",1.1.6,4.0 and up
4973,Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,293k,100,Paid,6.49,Everyone,Productivity,"May 3, 2014",1.0,2.2 and up
6722,BSPlayer,VIDEO_PLAYERS,4.2,4585,Varies with device,50000,Paid,5.99,Everyone,Video Players & Editors,"March 30, 2018",Varies with device,Varies with device
1836,RollerCoaster Tycoon® Classic,GAME,4.6,10795,69M,100000,Paid,5.99,Everyone,Simulation,"December 21, 2017",1.2.1.1712080,4.0.3 and up
4133,Weather Live,WEATHER,4.5,76593,Varies with device,500000,Paid,5.99,Everyone,Weather,"November 21, 2017",Varies with device,Varies with device
852,Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21,44M,1000,Paid,5.99,Everyone,Education;Education,"July 21, 2017",1.3,4.1 and up
2273,OptoDrum,MEDICAL,3.9,10,378k,1000,Paid,5.99,Everyone,Medical,"May 26, 2015",1.0,3.0 and up
3564,aCalendar+ Calendar & Tasks,PRODUCTIVITY,4.6,26919,Varies with device,100000,Paid,5.99,Everyone,Productivity,"June 25, 2018",Varies with device,Varies with device
4301,Fuzzy Numbers: Pre-K Number Foundation,FAMILY,4.7,21,44M,1000,Paid,5.99,Everyone,Education;Education,"July 21, 2017",1.3,4.1 and up
2912,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,1000000,Paid,5.99,Everyone,Photography,"July 25, 2018",1.3.1,4.1 and up
2950,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,1000000,Paid,5.99,Everyone,Photography,"July 25, 2018",1.3.1,4.1 and up
2883,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,1000000,Paid,5.99,Everyone,Photography,"July 25, 2018",1.3.1,4.1 and up
4181,G-NetWiFi Pro,TOOLS,3.3,6,1.5M,100,Paid,5.99,Everyone,Tools,"June 18, 2018",3.2,4.0 and up
6132,BG Monitor Diabetes Pro,MEDICAL,4.6,87,2.8M,500,Paid,5.99,Everyone,Medical,"April 23, 2017",8.0.1,4.4 and up
5578,Sleep as Android Unlock,LIFESTYLE,4.5,23966,872k,1000000,Paid,5.99,Everyone,Lifestyle,"June 27, 2018",20180608,4.0 and up
2416,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,5000,Paid,5.99,Everyone,Medical,"May 31, 2018",6.5.0,5.0 and up
2250,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,5000,Paid,5.99,Everyone,Medical,"May 31, 2018",6.5.0,5.0 and up
9932,Campervan.Guide Pro,TRAVEL_AND_LOCAL,4.2,238,67M,10000,Paid,5.99,Everyone,Travel & Local,"June 22, 2018",4.6.2,4.1 and up
4616,Please Don't Touch Anything 3D,FAMILY,4.2,146,20M,5000,Paid,5.99,Teen,Puzzle,"December 7, 2016",1.1,4.4 and up
8149,CZ-Cyberon Voice Commander,TOOLS,3.8,131,3.3M,1000,Paid,5.99,Everyone,Tools,"March 7, 2017",3.2.17030601,2.2 and up
6618,bpresso PRO,MEDICAL,4.4,515,Varies with device,1000,Paid,5.49,Everyone,Medical,"April 19, 2017",Varies with device,Varies with device
2399,Pedi STAT,MEDICAL,4.6,129,2.9M,10000,Paid,5.49,Everyone,Medical,"April 6, 2018",3.0.1.0,4.1 and up
2245,Pedi STAT,MEDICAL,4.6,129,2.9M,10000,Paid,5.49,Everyone,Medical,"April 6, 2018",3.0.1.0,4.1 and up
8051,TI-Nspire CX Calculator Manual,FAMILY,3.9,11,27M,500,Paid,4.99,Everyone,Education,"July 21, 2018",1.3.0,4.1 and up
4613,"Please, Don't Touch Anything",FAMILY,4.4,1771,46M,10000,Paid,4.99,Teen,Puzzle,"April 20, 2016",1.1.0,2.3 and up
2179,Chess and Mate,FAMILY,4.5,359,17M,5000,Paid,4.99,Everyone,Board;Brain Games,"August 12, 2015",2.0.5,2.3 and up
4612,Don't Starve: Pocket Edition,GAME,4.4,17988,7.9M,100000,Paid,4.99,Teen,Adventure,"July 25, 2018",1.06,5.0 and up
2178,THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2M,10000,Paid,4.99,Everyone,Board;Brain Games,"February 9, 2016",1.0.3,4.0 and up
6974,Lollipop Launcher Plus,PERSONALIZATION,4.1,131,27k,1000,Paid,4.99,Everyone,Personalization,"March 8, 2015",1.0,4.0.3 and up
8074,Absolute RC Heli Simulator,SPORTS,3.9,654,50M,10000,Paid,4.99,Everyone,Sports,"December 20, 2017",3.29,4.1 and up
7196,PAC-MAN CE DX,GAME,4.5,1692,36M,10000,Paid,4.99,Everyone,Arcade,"April 23, 2018",1.1.0,4.0.3 and up
2174,Steam: Rails to Riches,FAMILY,4.2,214,67M,5000,Paid,4.99,Everyone,Board;Brain Games,"December 13, 2017",3.3.1,4.1 and up
6948,Bitcoin BX Thailand PRO,FINANCE,1.7,21,21M,100,Paid,4.99,Everyone,Finance,"October 22, 2017",5.0,4.0.3 and up
2176,Lanterns: The Harvest Festival,FAMILY,4.7,185,72M,1000,Paid,4.99,Everyone,Board;Brain Games,"May 1, 2018",1.16.5,4.1 and up
5847,Lunar Calendar,LIFESTYLE,4.5,484,Varies with device,1000,Paid,4.99,Mature 17+,Lifestyle,"July 17, 2018",Varies with device,Varies with device
7538,CM Launcher 3D Pro💎,PERSONALIZATION,4.7,23802,173k,100000,Paid,4.99,Everyone,Personalization,"November 17, 2016",1.0.9,4.0 and up
5367,I am Bread,GAME,4.0,630,20M,10000,Paid,4.99,Everyone,Adventure,"October 26, 2016",1.6.1,4.4 and up
4619,Don't Starve: Shipwrecked,GAME,4.1,1468,4.9M,10000,Paid,4.99,Teen,Adventure,"July 10, 2018",0.16,5.0 and up
8368,Penny Puss,TOOLS,3.0,19,22M,1000,Paid,4.99,Everyone,Tools,"July 9, 2016",1.911.1944.4606,4.0 and up
7097,California Cop Assist CA Cop,PRODUCTIVITY,3.0,5,7.0M,100,Paid,4.99,Everyone,Productivity,"February 11, 2014",1.3,2.2 and up
4282,K-@ Mail Pro - Email App,COMMUNICATION,4.2,1603,Varies with device,10000,Paid,4.99,Everyone,Communication,"July 23, 2016",Varies with device,Varies with device
4391,Traps n' Gemstones,GAME,4.5,413,9.1M,1000,Paid,4.99,Everyone,Adventure,"May 17, 2017",1.04,4.0.3 and up
4132,F-Sim Space Shuttle,FAMILY,4.4,5427,Varies with device,100000,Paid,4.99,Everyone,Simulation,"January 28, 2014",Varies with device,Varies with device
9848,Learn Italian with MosaLingua,FAMILY,4.7,1719,Varies with device,50000,Paid,4.99,Teen,Education,"May 31, 2018",Varies with device,Varies with device
5479,iScore5 AP Psych,FAMILY,2.9,10,73M,100,Paid,4.99,Everyone,Educational,"April 25, 2017",2.0,4.0.3 and up
5482,meStudying: AP English Lit,FAMILY,5.0,1,655k,10,Paid,4.99,Everyone,Education,"August 31, 2013",1.3,2.0.1 and up
995,My Talking Pet,ENTERTAINMENT,4.6,6238,Varies with device,100000,Paid,4.99,Everyone,Entertainment,"June 30, 2018",Varies with device,Varies with device
4108,F-Stop Gallery Pro,PHOTOGRAPHY,4.4,1302,58k,10000,Paid,4.99,Everyone,Photography,"August 5, 2015",3.2,2.2 and up
5973,Baby Connect (activity log),PARENTING,4.7,8343,8.3M,50000,Paid,4.99,Everyone,Parenting,"July 10, 2018",6.3.16,4.0.3 and up
290,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,100000,Paid,4.99,Everyone,Business,"March 25, 2018",1.5.2,4.0 and up
5982,Business Calendar Pro,PRODUCTIVITY,4.6,27135,Varies with device,100000,Paid,4.99,Everyone,Productivity,"May 24, 2018",Varies with device,Varies with device
291,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,100000,Paid,4.99,Everyone,Business,"April 11, 2017",3.4.6,3.0 and up
4156,G Cloud Apps Backup Key * root,TOOLS,4.5,1034,196k,5000,Paid,4.99,Everyone,Tools,"September 8, 2013",1.1,2.2 and up
2152,LEGO® Friends,FAMILY,4.4,854,6.9M,10000,Paid,4.99,Everyone,Casual;Pretend Play,"December 1, 2015",Varies with device,4.0.3 and up
7204,TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5.0,1,27M,100,Paid,4.99,Everyone,Education,"March 28, 2018",1.5.2,4.1 and up
7999,Morse Decoder for Ham Radio,COMMUNICATION,3.7,166,2.0M,5000,Paid,4.99,Everyone,Communication,"March 14, 2017",1.52,2.3 and up
234,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,100000,Paid,4.99,Everyone,Business,"March 25, 2018",1.5.2,4.0 and up
7962,"Super Resume Builder Pro, CV",BUSINESS,4.4,244,6.9M,1000,Paid,4.99,Everyone,Business,"August 17, 2017",4.38,2.3 and up
8251,LEGO Batman: DC Super Heroes,FAMILY,4.2,2557,5.8M,50000,Paid,4.99,Everyone 10+,Adventure;Action & Adventure,"May 9, 2016",Varies with device,4.0.3 and up
235,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,100000,Paid,4.99,Everyone,Business,"April 11, 2017",3.4.6,3.0 and up
10041,Advanced EX for HYUNDAI,TOOLS,2.7,168,170k,5000,Paid,4.99,Everyone,Tools,"March 14, 2015",1.10,1.6 and up
1839,Monument Valley 2,GAME,4.6,9394,33M,100000,Paid,4.99,Everyone,Puzzle,"November 30, 2017",1.2.9,4.4 and up
5246,Hey AJ! It's Bedtime!,FAMILY,5.0,1,63M,10,Paid,4.99,Everyone,Education,"April 4, 2018",1.0.59,2.3 and up
2270,ERres- Emergency Medicine,MEDICAL,4.2,45,14M,1000,Paid,4.99,Everyone,Medical,"August 18, 2015",6.0,4.0 and up
4571,S Launcher Pro for Galaxy,PERSONALIZATION,4.1,47,26k,1000,Paid,4.99,Everyone,Personalization,"February 12, 2016",1.0,4.1 and up
